Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
14707,LUBBE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14708,LUBEN,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14709,LUBERT,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14710,LUBIN,85,0.0941176470588235,0.211764705882353,0.305882352941176,0.188235294117647,0.2,1,0,0,0,0,0,0
14711,LUBONGA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14712,LUBTCHANSKY,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14713,LUC,61,0.229508196721311,0.0983606557377049,0.327868852459016,0.19672131147541,0.147540983606557,1,0,0,0,0,0,0
14714,LUC-ANTOINE,1,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
14715,LUCA,179,0.162011173184358,0.268156424581006,0.318435754189944,0.201117318435754,0.0502793296089385,0,0,0,1,0,0,0
14716,LUCAS,1871,0.185462319615179,0.262426509887761,0.300908605024051,0.177445216461785,0.0737573490112239,0,1,0,0,0,0,0
14717,LUCATO,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14718,LUCAUD,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14719,LUCCA,10,0.1,0.3,0.3,0.3,0.0,0,0,0,1,0,0,0
14720,LUCCHESE,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14721,LUCCHETTI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14722,LUCCHINO,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14723,LUCCIANA,2,0.5,0.0,0.0,0.0,0.5,0,0,0,1,0,0,0
14724,LUCE,38,0.0789473684210526,0.0263157894736842,0.368421052631579,0.236842105263158,0.289473684210526,1,0,0,0,0,0,0
14725,LUCE-AURORE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14726,LUCENZO,4,0.75,0.0,0.0,0.0,0.25,0,0,1,0,0,0,0
14727,LUCERO,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14728,LUCHENZO,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14729,LUCHO,3,0.333333333333333,0.333333333333333,0.333333333333333,0.0,0.0,0,0,1,0,0,0,0
14730,LUCI,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
14731,LUCIA,23,0.217391304347826,0.173913043478261,0.304347826086957,0.260869565217391,0.0434782608695652,0,0,0,1,0,0,0
14732,LUCIA-MADELIEF,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
14733,LUCIAN,18,0.333333333333333,0.166666666666667,0.166666666666667,0.222222222222222,0.111111111111111,0,0,0,1,0,0,0
14734,LUCIANA,11,0.0,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182,0,0,0,1,0,0,0
14735,LUCIANNA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0
14736,LUCIANO,9,0.444444444444444,0.333333333333333,0.222222222222222,0.0,0.0,0,0,0,1,0,0,0
14737,LUCIE,785,0.109554140127389,0.170700636942675,0.254777070063694,0.238216560509554,0.226751592356688,1,0,0,0,0,0,0
14738,LUCIE-ANNE,1,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
14739,LUCIE-GUYVANHA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14740,LUCIE-LOU,2,0.0,0.5,0.0,0.0,0.5,1,0,0,0,0,0,0
14741,LUCIE-LYNNE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14742,LUCIE-MARIE,1,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
14743,LUCIEN,118,0.0677966101694915,0.152542372881356,0.338983050847458,0.26271186440678,0.177966101694915,1,0,0,0,0,0,0
14744,LUCIJA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
